28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
2809200587890205020100932V00932V00932V00932V00931V00931V00931V00932V00932V00932V00932V00932V00931V00931V00930V00930V00930V00930V00930V00931V00931V00931V00932V00932V
2809200588890205020100004V00004V00004V00004V00004V00004V00004V00015V00144V00292V00424V00504V00536V00501V00412V00275V00120V00008V00004V00004V00004V00004V00004V00004V
28092005898902050201000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2814800401380205020100009V00007V00008V00007V00006V00009V00015V00019V00020V00021V00020V00024V00022R*****N00016V00016V00018V00014V00009V00010V00010V00012V00010V00009V
2814800407080205020100008V00003V00010V00011V00024V00064V00210V00256V00156V00118V00081V00088V00079R*****N00036V00048V00080V00047V00005V00004V00007V00019V00004V00003V
2814800408080205020100017V00004V00020V00022V00028V00031V00051V00062V00052V00051V00044V00062V00064R*****N00037V00046V00073V00044V00003V00001V00011V00027V00004V00002V
28148004064802050201000.2V000.1V000.2V000.2V000.3V000.5V000.8V001.5V000.9V000.7V000.4V000.8V000.7R*****N000.4V000.5V000.7V000.4V000.2V000.1V000.2V000.3V000.1V000.1V
2814800410490205020100026V00020V00016V00021V00019V00026V00028V00046V00074V00075V00079V00061V00070V00076V00068V00050V00065V00084V00060V00026V00026V00021V00019V00018V
2814800414060205020100023V00042V00023V00016V00009V00009V00009V00011V00013V00016V00023V00026V00030R*****N00040V00026V00011V00015V00046V00044V00028V00010V00044V00043V
2814800482890205020100057V00100V00138V00161V00198V00092V00175V00095V00119V00137V00096V00225V00282V00220V00265V00298V00310V00177V00023V00026V00046V00030V00036V00151V
28148004818902050201002.5V002.7V002.1V001.1V001.2V001.5V001.5V001.5V001.7V001.7V001.7V001.4V001.7V002.5V003.0V002.9V002.6V004.0V006.9V006.5V003.9V003.0V005.3V002.8V
28148004838902050201-00.6V-01.0V-01.1V-01.6V-02.5V-02.9V-04.5V-03.2V-00.9V001.6V003.9V007.8V009.6V010.8V011.8V012.7V012.7V010.8V009.5V008.1V006.6V005.3V005.1V004.0V
2814800486890205020100056V00057V00059V00063V00067V00068V00074V00071V00065V00059V00054V00042V00037V00035V00034V00033V00033V00042V00050V00055V00059V00063V00063V00067V
2814800487890205020100941V00941V00941V00940V00940V00940V00940V00941V00941V00941V00941V00940V00939V00939V00938V00937V00937V00938V00938V00939V00939V00939V00939V00939V
2814800488890205020100004V00004V00004V00004V00004V00004V00004V00007V00101V00233V00348V00420V00454V00418V00356V00236V00089V00005V00004V00004V00004V00004V00004V00004V
28148004898902050201000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28148004305902050201000.2V000.1V000.1V000.2V000.3V000.4V000.7V001.2V001.0V000.8V000.5V000.4V000.5V000.2V000.3V000.2V000.4V000.4V000.2V000.1V000.2V000.2V000.3V000.1V
28148004205902050201000.6V000.4V000.6V000.9V001.1V002.0V002.0V002.8V004.1V003.6V003.0V002.5V002.3V000.4V000.9V001.5V001.8V001.8V000.3V000.3V000.2V000.6V000.3V000.2V
28148004315902050201001.9V000.5V001.0V001.8V002.3V004.9V006.8V011.2V024.9V010.4V009.8V007.6V008.1V001.6V003.6V005.6V007.5V006.3V001.9V001.0V001.6V002.9V001.4V001.1V
2814800442020205020107.20V06.93V07.20V07.56V08.13V08.14V11.89V11.39V08.90V08.46V07.46V07.55V07.07R*****N07.04V07.25V07.59V07.06V06.71V06.76V07.00V07.17V06.86V06.85V
2814800444020205020100.89V00.75V00.92V00.97V01.18V01.30V04.95V04.59V02.33V01.90V01.23V01.36V01.20R*****N01.01V01.10V01.30V00.99V00.73V00.73V00.93V01.04V00.80V00.77V
2800700101380205020100012V00011R00007R00004V00003R00008V00018V00028V00036V00016V00012V00010V00007V00006V00003V00006V00009V00007V00007V00018V00015V00014V00009V00008V
2800700107080205020100177V00216R00148R00074V00063R00138V00416V00720V00779V00224V00133V00093V00086V00081R*****N00058V00065V00092V00099V00286V00225V00160V00045V00087V
2800700108080205020100107V00109R00094R00073V00063R00086V00160V00213V00242V00124V00096V00069V00055V00059R*****N00071V00087V00100V00097V00148V00132V00110V00080V00085V
28007001064802050201000.9V001.0R000.7R000.5V000.5R001.2V002.8V004.4V003.2V001.3V000.9V000.6V000.6V000.6V000.5V000.7V001.0V000.8V000.8V002.2V001.7V001.2V000.6V000.8V
2800700110490205020100038V00047V00036V00034V00021V00028V00035V00062V00116V00130V00072V00060V00038V00046V00026V00032V00032V00033V00044V00065V00066V00049V00047V00025V
2800700114060205020100008V00008R00008R00011V00016R00011R00010V00012V00012V00016V00026V00034V00043V00052V00047V00042V00031V00010V00010V00011V00010V00008V00014V00007V
2800700182890205020100232V00311V00304V00310V00244V00319V00254V00199V00267V00153V00181V00259V00186V00276V00255V00294V00299V00316V00317V00254V00287V00186V00197V00192V
28007001818902050201001.0V001.6V001.6V001.5V001.2V001.2V001.0V000.9V001.4V001.9V002.2V001.8V002.1V002.1V001.7V001.9V001.7V002.5V002.4V001.3V001.5V001.5V001.5V001.0V
28007001838902050201002.3V001.4V000.1V-00.1V000.1V000.9V001.2V001.7V003.9V004.8V006.1V008.0V010.1V011.5V013.0V013.8V012.7V010.5V008.2V008.1V007.1V006.7V006.2V004.9V
2800700186890205020100056V00058V00062V00061V00060V00057V00059V00061V00055V00053V00053V00046V00041V00036V00034V00033V00036V00043V00053V00054V00059V00061V00062V00066V
2800700187890205020100927V00927V00927V00927V00926V00926V00927V00927V00927V00927V00927V00927V00926V00925V00925V00925V00924V00925V00925V00925V00926V00926V00926V00926V
2800700188890205020100004V00004V00004V00004V00004V00004V00004V00004V00078V00185V00279V00356V00389V00380V00315V00219V00036V00004V00004V00004V00004V00004V00004V00004V
28007001898902050201000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804900101380205020100010V00008V00008V00008V00008V00010V00017V00029V*****N00023R00019V00018V00015V00014V00013V00019V00017V00016V00010V00008V00009V00008V00007V00007V
2804900107080205020100049V00019V00015V00022V00031V00072V00227V00443V*****N00177R00099V00085V00060V00060V00033V00052V00060V00068V00010V00008V00022V00019V00007V00002V
2804900108080205020100053V00052V00055V00054V00051V00054V00079V00109V*****N00076R00066V00070V00070V00078V00074V00092V00100V00085V00051V00047V00055V00056V00046V00033V
28049001064802050201000.8V000.6V000.6V000.8V000.9V001.3V002.4V003.2V*****N001.4R001.2V001.0V000.8V000.6V000.4V000.7V001.0V000.9V000.4V000.4V000.6V000.6V000.6V000.6V
2804900110490205020100034V00026V00020V00019V00013V00016V00037V00093V00145V00108V00100V00064V00066V00050V00062V00038V00053V00059V00050V00020V00020V00025V00018V00015V
2804900114060205020100008V00007V00006V00006V00006V00006V00009V00015V00007R00007V00012V00014V00019R00019V00027V00016V00009V00012V00022V00021V00013V00011V00018V00028V
2804900182890205020100111V00184V00173V00236V00041V00313V00187V00176V00140V00119V00129V00113V00232V00232V00326V00321V00317V00174V00040V00046V00185V00067V00081V00096V
28049001818902050201001.7V001.5V001.5V001.5V001.3V001.0V001.1V001.0V001.8V002.5V002.4V002.1V002.0V001.9V002.3V002.3V002.7V003.5V004.5V004.5V001.9V002.5V003.3V002.4V
28049001838902050201000.1V-00.3V-00.8V-02.5V-02.8V-02.7V-02.6V-02.3V-00.5V001.4V003.5V006.8V009.7V011.3V012.3V013.5V012.8V011.1V009.6V008.1V006.8V005.6V005.0V004.4V
2804900186890205020100055V00057V00060V00069V00071V00071V00072V00070V00065V00060V00057V00047V00039V00035V00034V00032V00033V00041V00051V00058V00062V00064V00065V00067V
2804900187890205020100937V00936V00936V00936V00936V00936V00936V00936V00937V00936V00936V00936V00935V00935V00934V00933V00933V00933V00934V00935V00935V00935V00935V00935V
2804900188890205020100004V00004V00004V00004V00004V00004V00004V00009V00108V00236V00340V00409V00435V00402V00338V00212V00076V00004V00004V00004V00004V00004V00004V00004V
28049001898902050201000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805100107080205020100002V00002V00003V00002V00002V00003V00009V00005V00004V00005V00006V00003V00002R00002R00002V00002V00002V00003V00002V00003V00002V00002V00002V00002V
2805100108080205020100006V00007V00009V00006V00006V00013V00037V00035V00026V00023V00023V00012V00008R00010R00009V00014V00012V00014V00015V00014V00011V00007V00007V00005V
28051001104902050201022.3V023.8V017.0V016.0V013.0V012.8V012.5V026.3V038.0V036.5V025.8V050.5V032.3V007.8V027.0V032.8V051.3V059.3V037.3V017.8V012.3V019.0V018.8V009.0V
2805100114060205020100051V00048V00044V00045V00048V00037V00014V00024V00034V00032V00029V00049V00059R00058R00060V00055V00054V00052V00050V00050V00049V00050V00050V00051V
28051001828902050201272.8V288.0V290.5V274.3V283.5V333.8V318.8V280.0V272.0V180.0V118.5V258.0V265.0V276.0V292.0V293.0V299.8V296.8V309.3V320.5V285.8V270.5V276.5V274.3V
28051001818902050201005.6V003.5V002.3V003.4V003.5V002.1V002.5V003.7V003.5V002.4V001.9V003.7V004.9V005.7V005.3V005.3V005.0V004.8V004.1V004.7V004.5V005.2V004.2V004.2V
28051001838902050201002.0V001.8V001.4V001.4V001.6V000.1V000.0V001.8V003.9V004.2V004.8V009.3V011.2V011.9V012.1V011.8V010.7V008.9V008.2V008.0V006.7V005.5V005.2V004.6V
28051001868902050201065.8V064.8V064.9V068.4V072.5V075.3V068.8V071.1V064.5V057.2V055.1V048.0V042.4V040.2V039.8V042.0V047.0V054.6V057.3V057.7V063.2V068.2V068.1V070.0V
2805100187890205020100934V00934V00934V00933V00933V00933V00933V00933V00934V00934V00934V00933V00932V00931V00931V00931V00931V00931V00931V00932V00932V00933V00933V00933V
2805100188890205020100004V00004V00004V00004V00004V00004V00004V00014V00147V00294V00413V00488V00510V00472V00382V00250V00100V00005V00004V00004V00004V00004V00004V00004V
28051001898902050201000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804500207080205020100001V00001V00001V00001V00001V00007V00016V00083V00031V00015V00011V00005V00006V00008V00006V00003V00015V00006V00004V00003V00001V00005V00002V00001V
2804500208080205020100018V00014V00012V00009V00011V00017V00029V00036V00028V00023V00022V00017V00019V00023V00022V00019V00028V00028V00022V00018V00014V00016V00012V00012V
28045002064802050201000.2V000.2V000.2V000.1V000.2V000.3V000.6V001.9V001.0V000.5V000.3V000.1V000.2V000.3V000.3V000.3V000.7V000.5V000.4V000.3V000.2V000.2V000.1V000.1V
2804500210490205020100021V00017V00019V00010V00017V00012V00017V00022V00050V00050V00068V00046V00042V00033V00036V00058V00038V00046V00028V00028V00019V00015V00005V00018V
2804500214060205020100031V00043V00046V00056V00050V00036V00012V00009V00019V00030V00030V00046V00044V00036V00042V00052V00027V00028V00028V00041V00051V00042V00051V00049V
2804500282890205020100247V00242V00259V00253V00270V00264V00242V00034V00147V00191V00114V00130V00164V00147V00185V00181V00058V00044V00039V00029V00046V00208V00187V00142V
28045002818902050201000.8V000.9V001.2V001.5V001.2V001.0V000.9V000.6V001.0V001.1V001.0V001.2V001.3V001.3V001.5V001.3V001.2V002.3V002.9V002.6V002.9V001.3V001.3V001.0V
28045002838902050201000.8V000.5V-00.5V-00.4V-00.7V-00.5V-00.3V-00.4V001.0V004.2V004.8V006.5V007.8V009.2V010.3V011.0V011.3V009.7V007.9V007.2V007.0V005.1V004.3V003.5V
2804500286890205020100062V00062V00065V00065V00065V00065V00066V00067V00064V00054V00052V00047V00045V00042V00039V00038V00039V00047V00054V00057V00056V00064V00067V00072V
2804500287890205020100905V00905V00905V00905V00904V00904V00904V00905V00905V00905V00905V00905V00904V00904V00903V00903V00903V00903V00903V00904V00903V00904V00904V00904V
2804500288890205020100004V00004V00004V00004V00004V00004V00004V00004V00139V00293V00409V00482V00497V00454V00363V00238V00089V00004V00004V00004V00004V00004V00004V00004V
28045002898902050201000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2808000301380205020100011V00010V00010V00009V00010V00011V00013V00018V00017V00011V00011V00010V00008V00009V00009V00009V00010V00010V00010V00011V00010V00010V00010V00010V
2808000307080205020100014V00014V00010V00009V00022V00056V00264V00513V00385V00088V00039V00031V00013V00012V00015V00014V00028V00026V00038V00107V00089V00019V00018V00024V
2808000308080205020100047V00043V00028V00026V00035V00029V00014V00009V00010V00018V00024V00021V00010V00010V00013V00014V00032V00041V00046V00038V00041V00043V00047V00039V
28080003064802050201000.4V000.4V000.4V000.3V000.4V000.4V000.7V000.9V001.4V000.6V000.5V000.4V000.4V000.4V000.4V000.4V000.5V000.6V000.6V000.8V000.7V000.4V000.5V000.4V
2808000310490205020100018V00017V00015V00011V00012V00013V00028V00068V00113V00093V00035V00025V00028V00019V00017V00020V00025V00049V00049V00030V00026V00020V00015V00016V
2808000314060205020100008V00009V00022V00016V00007V00006V00005V00006V00007V00023V00029V00042V00061V00068V00065V00066V00032V00016V00008V00006V00005V00009V00007V00011V
2808000382890205020100045V00040V00055V00245V00328V00296V00305V00320V00050V00214V00231V00260V00266V00260V00168V00292V00330V00331V00102V00174V00074V00058V00088V00092V
28080003818902050201001.1V001.5V002.0V001.2V001.9V001.5V000.9V001.7V000.8V001.3V001.9V002.0V002.0V001.9V001.3V001.4V002.8V002.8V002.6V001.9V001.3V001.4V001.4V001.3V
28080003838902050201004.3V003.3V003.2V002.4V001.6V000.8V001.3V002.3V005.4V007.8V009.0V010.5V011.9V013.3V014.2V014.8V013.9V011.5V010.6V010.0V008.9V008.2V007.0V006.8V
2808000386890205020100068V00068V00065V00069V00075V00081V00077V00073V00066V00063V00060V00054V00052V00048V00046V00045V00051V00060V00064V00066V00070V00073V00078V00078V
2808000387890205020100926V00925V00925V00925V00924V00924V00925V00925V00925V00925V00926V00926V00925V00924V00924V00924V00924V00924V00924V00924V00924V00925V00925V00925V
