28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
2809200587890205030100911V00911V00911V00910V00910V00910V00911V00911V00912V00912V00913V00913V00913V00912V00912V00911V00911V00912V00912V00912V00913V00913V00913V00913V
2809200588890205030100004V00004V00004V00004V00004V00004V00004V00020V00143V00203V00344V00664V00715V00678V00585V00268V00175V00064V00004V00004V00004V00004V00004V00004V
28092005898902050301000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2814800401380205030100005V00005V00006V00006V00006V00006V00006V00007V00007V00007V00008V00007V00006V00006V00006V00007V00008V*****N*****N00010V00012V00012V00009V00011V
28148004070802050301*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N00035V00056V00049V00026V00031V
28148004080802050301*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N00096V00105V00089V00075V00067V
28148004064802050301*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N000.7V000.8V000.9V000.6V000.6V
2814800410490205030100021V00020V00021V00023V00016V00020V00020V00022V00035V00031V00027V00030V00031V00022V00027V00025V00030V00033V00025V00005V00057V00059V00082V00050V
2814800414060205030100077V00074V00074V00076V00075V00069V00062V00058V00066V00073V00075V00080V00093V00100V00097V00096V00094V*****N*****N00017V00010V00013V00010V00010V
2814800482890205030100034V00038V00035V00044V00039V00035V00040V00025V00025V00044V00045V00045V00028V00028V00079V00135V00265V00236V00252V00086V00055V00130V00122V00036V
28148004818902050301007.7V007.1V007.2V006.9V006.7V006.7V006.5V007.5V006.9V005.9V004.7V003.4V003.5V004.3V003.4V002.2V002.6V001.8V001.3V001.3V001.2V001.6V001.1V003.1V
28148004838902050301-06.5V-06.6V-06.5V-06.5V-06.3V-06.4V-06.2V-06.2V-05.0V-03.1V-00.5V002.2V003.8V004.5V005.6V006.6V006.1V004.8V004.0V003.8V003.4V002.4V001.5V-00.2V
2814800486890205030100048V00049V00048V00047V00046V00045V00044V00044V00040V00036V00033V00029V00024V00022V00023V00022V00024V00028V00032V00031V00033V00041V00047V00046V
2814800487890205030100920V00920V00920V00920V00920V00920V00920V00921V00921V00921V00922V00921V00921V00920V00920V00919V00919V00919V00920V00920V00921V00921V00921V00921V
2814800488890205030100004V00004V00004V00004V00004V00004V00004V00028V00189V00380V00514V00589V00639V00625V00543V00408V00206V00015V00004V00004V00004V00004V00004V00004V
28148004898902050301000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28148004305902050301000.2V000.1V000.1V000.2V000.1V000.1V000.2V000.2V000.2V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.2V000.1V000.1V000.3V000.4V000.4V000.3V000.2V
28148004205902050301000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.2V000.2V000.1V000.1V000.1V000.1V000.1V000.1V000.2V000.2V000.2V000.1V000.6V006.6V003.0V000.6V001.4V
28148004315902050301000.4V000.3V000.4V000.4V000.3V000.3V000.6V001.8V001.7V000.5V000.4V000.4V000.4V000.3V000.4V000.4V000.5V000.2V000.3V002.9V004.3V006.5V002.4V002.9V
2814800442020205030105.52V05.46V05.37V05.31V05.24V05.33V05.36V05.59V05.44V05.40V05.50V05.56V05.57V05.59V05.62V05.71V05.79R*****N*****N06.06R06.87V08.49V07.90V06.69V
2814800444020205030100.53V00.50V00.49V00.50V00.50V00.52V00.56V00.62V00.57V00.62V00.66V00.65V00.63V00.65V00.67V00.72V00.74R*****N*****N01.37R01.99V01.92V01.36V01.37V
2800700101380205030100006V00005V00003V00004V00005V00007R00008V00011V00016R00018V00024V00028V00024V00020V00013V00011V00009V00008V00012V00014V00016V00009V00006V00007V
2800700107080205030100004V00003V00002V00004V00005V00043R00051V00073V00088R00064V00070V00070V00055V00051V00032V00033V00022V00020V00045V00161V00171V00032V00007V00012V
2800700108080205030100023V00019V00015V00018V00023V00065R00073V00084V00089R00076V00077V00077V00071V00070V00062V00067V00061V00062V00088V00123V00124V00077V00050V00054V
28007001064802050301000.6V000.5V000.5V000.5V000.6V001.2R001.4V001.8V001.6R001.3V001.3V001.3V001.2V001.3V000.9V000.7V000.6V000.6V001.0V001.4V001.4V000.7V000.4V000.5V
2800700110490205030100025V00024V00017V00017V00017V00014V00027V00032V00033V00040V00039V00049V00053V00051V00028V00023V00042V00034V00035V00041V00076V00064V00038V00031V
2800700114060205030100067V00073V00076V00074V00071V00036R00027V00022V00025R00028V00028V00032V00041V00046V00051V00046V00049V00044V00018V00010V00010V00019V00034V00027V
2800700182890205030100248V00271V00271V00237V00266V00221V00265V00242V00219V00220V00170V00180V00164V00159V00141V00146V00130V00135V00235V00317V00270V00124V00131V00160V
28007001818902050301001.9V002.2V002.4V001.9V002.1V001.9V002.2V002.1V001.9V002.0V002.0V002.2V002.6V002.8V002.6V002.3V002.5V001.9V001.4V001.8V001.4V002.3V001.8V001.3V
28007001838902050301-05.1V-05.1V-05.0V-04.4V-04.2V-04.2V-04.2V-03.9V-01.9V-01.2V000.0V002.3V004.2V004.9V005.8V005.8V005.0V004.6V003.9V003.3V003.6V003.2V002.6V002.3V
2800700186890205030100041V00041V00041V00037V00035V00035V00036V00035V00032V00032V00031V00029V00027V00025V00023V00025V00029V00032V00035V00038V00037V00043V00050V00052V
2800700187890205030100906V00906V00906V00905V00906V00906V00906V00907V00907V00907V00908V00908V00907V00906V00906V00906V00906V00906V00907V00907V00907V00908V00908V00908V
2800700188890205030100004V00004V00004V00004V00004V00004V00004V00016V00202V00177V00233V00508V00578V00562V00496V00293V00113V00033V00004V00004V00004V00004V00004V00004V
28007001898902050301000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804900101380205030100008V00008V00008V00008V00008V00009V00008V00010V00010V00010V00009V00009V00008V00007V00007V00007R00008V00009V00011V00011V00016V00013V00010V00011V
2804900107080205030100006V00007V00006V00007V00006V00006V00009V00016V00014V00011V00009V00008V00008V00005V00004V00004R00007V00009V00013V00039V00090V00065V00007V00053V
2804900108080205030100037V00036V00034V00035V00035V00035V00049V00059V00052V00042V00035V00034V00033V00028V00026V00026R00039V00053V00080V00093V00106V00089V00063V00073V
28049001064802050301000.5V000.4V000.4V000.5V000.5V000.5V000.5V000.7V000.8V000.8V000.2V000.1V000.1V000.1V000.1V000.1V000.2V000.2V000.3V000.3V000.7V000.5V000.2V000.2V
2804900110490205030100015V00017V00019V00013V00013V00019V00021V00027V00032V00029V00028V00033V00024V00030V00021V00026V00028V00028V00036V00050V00046V00064V00047V00041V
2804900114060205030100052V00050V00051V00050V00051V00050V00037V00032V00040V00048V00058V00062V00069V00080V00084V00086R00073V00055V00024V00011V00010V00018V00023V00008V
2804900182890205030100045V00039V00044V00045V00045V00045V00034V00045V00046V00045V00064V00086V00090V00073V00218V00254V00193V00214V00243V00231V00168V00153V00220V00130V
28049001818902050301004.2V004.3V004.5V004.4V004.8V004.9V004.0V004.6V004.8V004.7V003.9V003.2V003.3V003.3V002.9V002.5V002.2V002.2V001.4V001.1V001.8V001.8V001.6V001.2V
28049001838902050301-06.2V-06.2V-06.1V-06.0V-05.9V-05.9V-05.9V-05.7V-04.6V-02.6V-00.3V002.2V004.0V005.2V005.9V006.2V005.6V004.9V004.3V004.1V004.3V003.4V002.4V000.6V
2804900186890205030100047V00047V00047V00046V00045V00044V00044V00042V00040V00036V00032V00029V00025V00021V00022V00022V00025V00030V00033V00033V00035V00041V00047V00052V
2804900187890205030100916V00916V00915V00915V00915V00915V00916V00916V00917V00917V00917V00917V00917V00916V00915V00915V00915V00915V00916V00916V00916V00917V00917V00917V
2804900188890205030100004V00004V00004V00004V00004V00004V00004V00025V00190V00389V00523V00537V00632V00611V00527V00391V00132V00024V00004V00004V00004V00004V00004V00004V
28049001898902050301000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805100107080205030100002V00003V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00003V00004R00003R00003V00005V00011V00004V00004V00004V00003V
2805100108080205030100005V00006V00006V00005V00006V00005V00005V00006V00011V00010V00011V00010V00008V00011V00015V00032R00027R00025V00027V00065V00035V00035V00032V00022V
28051001104902050301011.0V018.0V010.3V011.0V012.0V010.0V006.3V*****N*****N020.5V019.0V029.8V020.3V029.8V056.5V022.5V046.5V023.5V037.5V055.0V052.0V024.5V022.0V025.0V
2805100114060205030100078V00070V00071V00072V00075V00083V00081V00058V00073V00078V00072V00076V00081V00079V00075V00059R00064R00066V00054V00014V00037V00037V00031V00042V
28051001828902050301022.3V029.0V033.8V032.8V039.0V044.3V043.3V049.8V061.5V061.5V067.3V062.5V073.8V079.3V095.5V124.8V106.5V108.3V257.5V316.0V322.5V286.0V179.5V334.0V
28051001818902050301002.3V001.3V002.2V002.3V003.5V004.6V004.1V002.8V003.7V005.2V005.1V004.8V004.4V003.5V003.0V002.3V002.2V001.6V001.6V002.1V001.9V001.6V001.7V002.4V
28051001838902050301-04.1V-04.1V-03.8V-03.5V-03.1V-02.9V-02.8V-03.5V-02.3V-00.7V000.3V001.9V003.0V003.6V004.2V004.1V004.3V004.1V002.9V001.8V001.4V001.3V000.3V-00.3V
28051001868902050301030.8V033.7V032.3V032.0V030.0V027.9V027.8V030.3V030.7V029.3V029.8V028.2V026.9V027.5V028.4V029.7V030.6V033.7V039.3V045.1V047.5V048.1V052.0V054.9V
2805100187890205030100912V00912V00912V00911V00911V00911V00912V00913V00913V00913V00913V00913V00913V00912V00911V00911V00911V00911V00911V00912V00912V00913V00913V00913V
2805100188890205030100004V00004V00004V00004V00004V00004V00004V00023V00192V00324V00458V00637V00660V00628V00455V00196V00172V00054V00004V00004V00004V00004V00004V00004V
28051001898902050301000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804500207080205030100023V00024V00023V00024V00024V00028V00035V00035V00034V00037V00038V00039V00038V00040R00036V00028V00032V00027V00063V00060V00033V00024V00025V00023V
2804500208080205030100001V00001V00001V00002V00002V00006V00022V00025V00017V00018V00020V00022V00019V00017R00019V00012V00017V00020V00063V00077V00070V00032V00026V00022V
28045002064802050301000.4V000.4V000.4V000.4V000.4V000.5V000.8V000.7V000.6V000.7V000.8V000.8V000.7V000.7R000.6V000.6V000.6V000.7V001.1V001.2V000.9V000.6V000.6V000.6V
2804500210490205030100010V00006V00005V00006V00002V00003V00008V00008V00022V00025V00017V00025V00029V00021V00015V00017V00016V00020V00020V00031V00043V00029V00017V00016V
2804500214060205030100108V00107V00107V00108V00108V00104V00090V00087V00099V00095V00096V00096V00098V00098R00099V00107V00101V00099V00051V00037V00037V00069V00077V00075V
2804500282890205030100047V00050V00046V00045V00047V00047V00058V00046V00047V00047V00057V00062V00062V00062V00069V00130V00164V00185V00112V00143V00265V00260V00237V00192V
28045002818902050301004.1V002.6V003.0V003.4V003.9V003.2V003.0V003.0V004.4V004.1V004.1V003.7V003.3V002.8V002.0V001.7V001.4V001.0V000.8V000.6V000.9V001.0V000.9V000.9V
28045002838902050301-05.7V-05.6V-05.5V-05.2V-05.0V-04.7V-04.7V-04.2V-02.8V-01.9V-00.7V000.3V001.1V002.0V002.9V002.9V003.2V002.9V001.9V001.8V001.1V000.4V000.4V000.4V
2804500286890205030100031V00031V00032V00031V00030V00029V00031V00034V00032V00031V00028V00027V00025V00024V00024V00026V00027V00027V00030V00032V00037V00040V00039V00043V
2804500287890205030100882V00882V00882V00882V00882V00882V00882V00883V00883V00884V00884V00884V00884V00883V00883V00883V00883V00883V00883V00884V00884V00884V00884V00884V
2804500288890205030100004V00004V00004V00004V00004V00004V00004V00041V00255V00350V00534V00666V00690V00653V00556V00407V00229V00050V00004V00004V00004V00004V00004V00004V
28045002898902050301000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2808000301380205030100010V00010V00010V00010V00011V00011V00010V00011V00011V00010V00011V00011V00011V00011V00012V00012V00013V00012V00011V00011V00012V00012V00010V00011V
2808000307080205030100009V00009V00010V00010V00010V00011V00018V00028V00030V00015V00016V00022V00021V00013V00013V00016V00012V00010V00011V00028V00097V00052V00025V00063V
2808000308080205030100008V00008V00007V00008V00009V00010V00027V00035V00034V00016V00016V00021V00021V00012V00014V00020V00025V00028V00035V00039V00049V00056V00060V00046V
28080003064802050301000.3V000.3V000.3V000.3V000.3V000.3V000.5V000.6V000.6V000.4V000.6V000.5V000.6V000.5V000.5V000.6V000.6V000.6V000.6V000.7V000.7V000.8V000.6V000.7V
2808000310490205030100013V00010V00010V00009V00007V00008V00009V00012V00022V00030V00027V00036V00037V00026V00014V00011V00014V00018V00019V00045V00066V00036V00027V00019V
2808000314060205030100083V00082V00081V00080V00081V00080V00060V00046V00047V00067V00067V00060V00072V00086V00085V00076V00069V00059V00042V00030V00013V00007V00006V00005V
2808000382890205030100069V00069V00069V00069V00069V00070V00070V00075V00070V00070V00079V00075V00079V00108V00148V00063V00143V00216V00247V00198V00235V00237V00254V00338V
28080003818902050301005.8V005.4V005.4V004.8V004.6V004.9V004.7V005.2V006.1V005.8V005.2V004.4V004.0V003.2V002.1V002.1V001.3V001.3V000.9V000.5V000.6V001.1V001.0V001.5V
28080003838902050301-03.5V-03.5V-03.5V-03.4V-03.0V-02.5V-02.4V-02.1V-01.3V000.1V001.8V003.3V004.6V005.4V006.0V006.5V006.5V006.1V005.2V005.1V005.3V004.5V003.3V003.3V
2808000386890205030100047V00048V00049V00049V00046V00042V00042V00041V00041V00041V00040V00039V00035V00034V00035V00035V00036V00039V00044V00045V00045V00052V00062V00065V
2808000387890205030100904V00904V00904V00903V00903V00904V00904V00904V00905V00905V00905V00906V00906V00905V00905V00905V00905V00905V00905V00906V00906V00906V00906V00906V
